date	power	latitude	longitude
08.7.4 19:39	2.1	39.26 N	127.22 E
08.7.1 16:32	2.3	35.54 N	128.82 E
08.6.30 3:34	2.3	35.1 N	124.66 E
08.6.21 23:30	2.2	35.57 N	128.6 E
08.5.31 21:59	4.2	33.5 N	125.69 E
08.5.26 11:01	2.6	35.85 N	130.01 E
08.3.27 16:29	2.8	37.78 N	126.4 E
08.3.21 23:57	2.7	35.15 N	124.57 E
08.3.15 1:38	2	38.11 N	127.1 E
08.3.9 18:07	2.2	38.75 N	125.84 E
08.3.8 18:05	2	35.66 N	128.8 E
08.2.29 15:53	3.2	38.75 N	126.23 E
08.2.29 5:37	2.4	33.57 N	126.54 E
08.2.26 23:22	2.5	35.97 N	126.56 E
08.2.26 9:10	2.6	37.95 N	124.85 E
08.2.23 18:19	2.2	35.82 N	129.33 E
08.2.5 10:06	2.3	38.41 N	125.9 E
08.1.16 19:58	3.9	35.65 N	125.37 E
08.1.14 18:03	2.2	36.19 N	127.54 E
08.1.10 22:51	2.2	35.09 N	125.06 E
08.1.1 6:33	3.2	40.41 N	127.25 E
07.12.28 4:03	2.7	34.98 N	129.64 E
07.12.22 9:54	2.6	38.63 N	125.5 E
07.12.16 0:04	2.2	35.62 N	127.8 E
07.11.19 5:51	2.1	34.78 N	126.48 E
07.10.29 2:32	2.5	36.62 N	128.42 E
07.10.17 20:06	2.1	36.43 N	129.57 E
07.10.16 14:59	2.9	37.45 N	128.97 E
07.10.13 4:13	2.1	36.44 N	129.63 E
07.10.8 22:36	2.2	38.9 N	125.76 E
07.10.6 9:08	2.5	35.59 N	125.96 E
07.10.4 23:56	2.9	36.43 N	129.55 E
07.10.1 1:02	2.2	36.44 N	129.54 E
07.9.24 0:24	2.6	36.45 N	129.61 E
07.9.17 1:16	3	36.45 N	129.69 E
07.9.12 6:50	2.7	36.46 N	129.47 E
07.8.30 16:12	2.9	38.69 N	125.64 E
07.8.18 15:09	2.5	35.99 N	125.78 E
07.8.12 4:52	2.1	36.05 N	127.74 E
07.8.7 18:39	2.4	37.23 N	128.8 E
07.7.27 1:37	2.1	39.16 N	126.65 E
07.7.22 13:49	2.6	36.88 N	126.66 E
07.7.19 21:01	2.2	37.08 N	129.01 E
07.7.8 19:28	2.3	37.37 N	129.66 E
07.6.26 0:01	2.2	35.61 N	130.15 E
07.5.28 0:51	2.1	35.23 N	128.57 E
07.5.26 19:59	2.5	36.1 N	125.05 E
07.5.19 7:53	2.4	36.57 N	129.0 E
07.5.16 4:56	2.5	35.72 N	129.22 E
07.5.13 16:22	2.2	35.92 N	128.01 E
07.5.11 5:51	2.1	35.55 N	129.91 E
07.5.3 18:24	2.1	36.6 N	127.83 E
07.5.3 12:24	2.2	36.13 N	127.85 E
07.4.25 8:36	2	36.94 N	126.53 E
07.4.1 22:16	2.3	38.58 N	125.63 E
07.3.28 2:47	2.8	38.64 N	125.6 E
07.3.15 5:30	2.9	36.18 N	127.97 E
07.3.10 18:18	2	37.21 N	128.85 E
07.2.6 0:35	2.2	35.13 N	129.41 E
07.1.24 16:31	2.4	38.62 N	125.59 E
07.1.20 20:56	4.8	37.68 N	128.59 E
07.1.19 9:06	2	37.69 N	128.57 E
07.1.6 5:47	2.4	39.11 N	127.98 E
06.12.28 9:44	2.2	36.11 N	128.11 E
06.12.20 1:18	2.1	37.14 N	129.9 E
06.12.10 1:39	2.5	33.06 N	126.22 E
06.12.4 0:51	2.7	36.46 N	127.92 E
06.11.26 3:05	2.4	34.14 N	127.48 E
06.11.12 8:19	2.9	38.59 N	125.12 E
06.11.11 1:16	2.4	35.97 N	127.45 E
06.10.25 18:14	2.6	33.36 N	125.75 E
06.10.22 14:09	2.2	37.13 N	125.98 E
06.10.16 14:12	2.4	37.35 N	124.88 E
06.10.4 5:29	2.2	36.67 N	127.67 E
06.9.29 23:07	3.4	34.1 N	124.9 E
06.9.20 14:15	2.1	34.62 N	128.81 E
06.9.20 0:03	2.6	35.92 N	129.56 E
06.8.26 7:44	2.2	37.21 N	128.81 E
06.8.9 8:16	2.3	35.7 N	124.8 E
06.8.7 14:18	2.8	35.6 N	124.63 E
06.8.1 12:57	2	35.74 N	127.82 E
06.7.26 2:50	2	35.8 N	127.88 E
06.7.25 23:29	2.5	35.79 N	127.89 E
06.7.24 2:44	2	37.17 N	126.32 E
06.7.18 14:49	2	36.13 N	126.65 E
06.6.1 11:58	2.4	34.6 N	128.16 E
06.5.8 6:59	2.4	36.22 N	129.54 E
